File Number,Date of Report,Crime Date Time,Crime,Reporting Area,Neighborhood,Location,reporting_area_group
2016-02648,2016-04-21 12:33:00,2016-04-21 12:15:00,Hit and Run,201,MIT,"100 Broadway, Cambridge, MA",2
2009-08579,2009-11-17 03:08:00,2009-11-17 03:08:00,Larceny from MV,502,Cambridgeport,"300 Massachusetts Ave, Cambridge, MA",5
2013-07523,2013-09-25 12:42:00,2013-09-25 12:00:00,Mal. Dest. Property,804,Agassiz,"0 SACRAMENTO ST, Cambridge, MA",8
2014-03968,2014-06-08 14:26:00,2014-06-08 14:25:00,Aggravated Assault,501,Cambridgeport,"MASSACHUSETTS AVE & Western Ave, Cambridge, MA",5
2014-08248,2014-10-30 08:20:00,2014-10-30 08:19:00,Trespassing,404,Area 4,"300 BROADWAY, Cambridge, MA",4
2014-03935,2014-06-07 12:07:00,2014-06-07 12:07:00,Larceny from Building,501,Cambridgeport,"500 MASSACHUSETTS AVE, Cambridge, MA",5
2012-01254,2012-02-18 22:51:00,2012-02-18 22:50:00,Admin Error,1002,West Cambridge,"0 BRATTLE ST, Cambridge, MA",10
2012-09769,2012-12-13 22:12:00,2012-12-13 22:11:00,Drugs,1104,North Cambridge,"CHURCHILL AVE & MASSACHUSETTS AVE, Cambridge, MA",11
2014-01643,2014-03-14 11:26:00,2014-03-14 11:26:00,Sex Offender Violation,411,Area 4,"BISHOP ALLEN DR & NORFOLK ST, Cambridge, MA",4
2018-01850,2018-03-26 16:15:00,2018-03-26 16:15:00,Forgery,104,East Cambridge,"0 GORE ST, Cambridge, MA",1
2018-07088,2018-10-05 14:19:00,2018-10-05 14:19:00,Threats,510,Cambridgeport,"800 MEMORIAL DR, Cambridge, MA",5
2013-04634,2013-06-25 14:39:00,2013-06-25 14:39:00,Drugs,102,East Cambridge,"0 Science Park, Cambridge, MA",1
2013-05990,2013-08-07 08:03:00,2013-08-07 08:02:00,Simple Assault,105,East Cambridge,"THORNDIKE ST & Fifth St, Cambridge, MA",1
2012-07860,2012-10-05 10:00:00,2012-10-05 09:59:00,Violation of H.O.,1109,North Cambridge,"100 JACKSON CIR, Cambridge, MA",11
2010-07303,2010-09-20 18:04:00,2010-09-20 16:00:00,Simple Assault,601,Mid-Cambridge,"MASSACHUSETTS AVE & PROSPECT ST, Cambridge, MA",6
